	idx	character
1	1	\cap
2	2	\hookrightarrow
3	3	\supset
4	4	\scriptscriptstyle
5	5	\flat
6	6	\f
7	7	@
8	8	/
9	9	\odot
10	10	\searrow
11	11	\mathord
12	12	4
13	13	\hbar
14	14	i
15	15	ç
16	16	?
17	17	\dotsc
18	18	\ne
19	19	o
20	20	\widehat
21	21	\textstyle
22	22	\Upsilon
23	23	P
24	24	\times
25	25	\ket
26	26	\Phi
27	27	\i
28	28	\bigg
29	29	\prec
30	30	\notin
31	31	\o
32	32	\sharp
33	33	\Chi
34	34	\Psi
35	35	\omega
36	36	\Omega
37	37	^
38	38	\beta
39	39	\oo
40	40	\cdots
41	41	\t
42	42	\tilde
43	43	\fl
44	44	\shortparallel
45	45	\ae
46	46	\vdash
47	47	f
48	48	b
49	49	s
50	50	\re
51	51	\surd
52	52	\Alpha
53	53	\Rho
54	54	\vartheta
55	55	\rc
56	56	\pi
57	57	\j
58	58	\forall
59	59	\Beta
60	60	\cup
61	61	\sqcup
62	62	\boldmath
63	63	\lbrack
64	64	\diamondsuit
65	65	\Omicron
66	66	\;
67	67	\underline
68	68	\gamma
69	69	\-
70	70	\u
71	71	\tan
72	72	\ss
73	73	\bigcup
74	74	\exists
75	75	g
76	76	7
77	77	\sqcap
78	78	\dep
79	79	\s
80	80	\Pi
81	81	\g
82	82	\big
83	83	\tabcolsep
84	84	V
85	85	\epsilon
86	86	\eqslantgtr
87	87	\rbrace
88	88	\oplus
89	89	\vee
90	90	\vec
91	91	\limits
92	92	\od
93	93	\equiv
94	94	\ni
95	95	y
96	96	\cr
97	97	\$
98	98	h
99	99	\rs
100	100	\vrule
101	101	\lceil
102	102	\bra
103	103	\varpi
104	104	\bigcirc
105	105	\colon
106	106	\subseteq
107	107	\supseteq
108	108	\iint
109	109	\alpha
110	110	&
111	111	\rgroup
112	112	M
113	113	\bigvee
114	114	)
115	115	\amalg
116	116	\ddot
117	117	\vert
118	118	\proj
119	119	\Theta
120	120	\mathopen
121	121	\emptyset
122	122	\rightarrow
123	123	\ldots
124	124	\ddagger
125	125	w
126	126	\langle
127	127	\v
128	128	\slash
129	129	\#
130	130	\overset
131	131	\Epsilon
132	132	<eol>
133	133	\mathbb
134	134	S
135	135	G
136	136	\mathit
137	137	\iota
138	138	\\
139	139	L
140	140	\gtr
141	141	\lgroup
142	142	\leq
143	143	\parallel
144	144	\kappa
145	145	\b
146	146	\preceq
147	147	\lambdabar
148	148	\otimes
149	149	x
150	150	D
151	151	\hs
152	152	\Zeta
153	153	W
154	154	\natural
155	155	 
156	156	]
157	157	\.
158	158	\mid
159	159	\le
160	160	\dots
161	161	\smallint
162	162	\succ
163	163	\upp
164	164	3
165	165	\ooalign
166	166	\propto
167	167	0
168	168	\bullet
169	169	\mathrm
170	170	\longrightarrow
171	171	\&
172	172	\grave
173	173	\rangle
174	174	\epsi
175	175	\~
176	176	\ds
177	177	\setminus
178	178	\limsup
179	179	\cdotp
180	180	\stackrel
181	181	\dot
182	182	\llap
183	183	\rbrack
184	184	p
185	185	U
186	186	\neq
187	187	\mathrel
188	188	\log
189	189	\simeq
190	190	\gtrless
191	191	!
192	192	\nwarrow
193	193	\aleph
194	194	\m
195	195	\subset
196	196	.
197	197	=
198	198	\r
199	199	+
200	200	\Lambda
201	201	e
202	202	\infty
203	203	\triangleright
204	204	\uparrow
205	205	(
206	206	\perp
207	207	\triangleleft
208	208	\vdots
209	209	\div
210	210	\bigtriangleup
211	211	\jmath
212	212	\dotsm
213	213	\leftarrow
214	214	\overrightarrow
215	215	\imath
216	216	\bigo
217	217	\cong
218	218	\rceil
219	219	"\"""
220	220	\not
221	221	X
222	222	\circ
223	223	\partial
224	224	$
225	225	\less
226	226	_
227	227	\pounds
228	228	\mathclose
229	229	\widetilde
230	230	A
231	231	\min
232	232	\liminf
233	233	\th
234	234	j
235	235	\^
236	236	\sim
237	237	\bigcap
238	238	B
239	239	\eqslantless
240	240	\,
241	241	\c
242	242	Z
243	243	q
244	244	\hfil
245	245	\Nu
246	246	\bigwedge
247	247	\rfloor
248	248	a
249	249	\text
250	250	\xi
251	251	\scriptstyle
252	252	\lessgtr
253	253	\Tau
254	254	I
255	255	\Delta
256	256	\swarrow
257	257	K
258	258	1
259	259	\succeq
260	260	\so
261	261	\varepsilon
262	262	\rightleftharpoons
263	263	\mathcal
264	264	n
265	265	\overbrace
266	266	\displaystyle
267	267	down
268	268	\ddots
269	269	m
270	270	\sqrt
271	271	<
272	272	\backslash
273	273	\x
274	274	\varsigma
275	275	¥
276	276	;
277	277	\circeq
278	278	\bot
279	279	\na
280	280	\top
281	281	\k
282	282	\tau
283	283	\sin
284	284	\bigoplus
285	285	5
286	286	\ll
287	287	left
288	288	\upsilon
289	289	R
290	290	\gg
291	291	\lfloor
292	292	E
293	293	\int
294	294	\overline
295	295	\pm
296	296	\star
297	297	\eta
298	298	:
299	299	{
300	300	%
301	301	\chi
302	302	\'
303	303	\vcenter
304	304	F
305	305	\dag
306	306	\prod
307	307	\ominus
308	308	\wedge
309	309	\nu
310	310	\theta
311	311	u
312	312	\Sigma
313	313	\mathaccent
314	314	\l
315	315	\nearrow
316	316	\diamond
317	317	\sum
318	318	N
319	319	\ge
320	320	\bigtriangledown
321	321	\bigotimes
322	322	\underset
323	323	\dagger
324	324	\h
325	325	*
326	326	Y
327	327	
328	328	O
329	329	\im
330	330	\downarrow
331	331	\mu
332	332	\?
333	333	l
334	334	c
335	335	Q
336	336	\:
337	337	`
338	338	|
339	339	\lambda
340	340	\triangle
341	341	-
342	342	\ij
343	343	z
344	344	6
345	345	\
346	346	2
347	347	,
348	348	'
349	349	\land
350	350	\oint
351	351	\mathbin
352	352	\ddag
353	353	\left
354	354	\textcircled
355	355	\scr
356	356	\rightharpoonup
357	357	\e
358	358	\breve
359	359	\smile
360	360	\asymp
361	361	\check
362	362	\acute
363	363	\frac
364	364	\cos
365	365	\mp
366	366	\bigsqcup
367	367	\p
368	368	\lbrace
369	369	\mathnormal
370	370	~
371	371	\wp
372	372	\Mu
373	373	\mbox
374	374	\cdot
375	375	T
376	376	\ell
377	377	\oslash
378	378	8
379	379	\varphi
380	380	\del
381	381	\coprod
382	382	circle
383	383	\Iota
384	384	\rightleftharpoon
385	385	\longmapsto
386	386	\hat
387	387	\nabla
388	388	v
389	389	\bm
390	390	\mathbf
391	391	\Kappa
392	392	\overleftarrow
393	393	\idotsint
394	394	\sigma
395	395	\lim
396	396	""""
397	397	§
398	398	\arrowvert
399	399	\sh
400	400	\_
401	401	\Gamma
402	402	\gtrsim
403	403	\rho
404	404	\d
405	405	\Xi
406	406	\geq
407	407	\longleftrightarrow
408	408	\longleftarrow
409	409	d
410	410	\right
411	411	C
412	412	#
413	413	\ac
414	414	\smallin
415	415	t
416	416	r
417	417	\rlap
418	418	\underbrace
419	419	k
420	420	
421	421	\prime
422	422	}
423	423	>
424	424	\psi
425	425	\zeta
426	426	J
427	427	\aa
428	428	right
429	429	\doteq
430	430	\mapsto
431	431	\delta
432	432	\box
433	433	circular
434	434	\%
435	435	H
436	436	\to
437	437	\bar
438	438	\ast
439	439	\in
440	440	\varrho
441	441	\phi
442	442	\empty
443	443	\square
444	444	[
445	445	\approx
446	446	<sos>
447	447	9
448	448	\leftrightarrow
449	449	\Eta
450	450	\mathop
451	451	\triangledown
